date,product_id,quantity_sold,revenue,orders,product_name,category
2026-01-02,P007,2,59.98,1,Yoga Mat,Fitness
2026-01-02,P008,14,200.86,6,Water Bottle,Fitness
2026-01-03,P001,9,113.00999999999999,5,Everyday Coffee,Grocery
2026-01-03,P002,4,23.369999999999997,3,Organic Cereal,Grocery
2026-01-03,P003,2,37.98,1,Cotton T-Shirt,Apparel
2026-01-03,P004,5,367.95,2,Running Shoes,Footwear
2026-01-03,P005,5,174.95000000000002,4,Desk Lamp,Home
2026-01-03,P007,22,653.78,7,Yoga Mat,Fitness
2026-01-03,P008,7,102.68,3,Water Bottle,Fitness
2026-01-04,P001,7,81.83,2,Everyday Coffee,Grocery
2026-01-04,P002,1,6.49,1,Organic Cereal,Grocery
2026-01-04,P004,3,215.97,1,Running Shoes,Footwear
2026-01-04,P005,5,167.95000000000002,2,Desk Lamp,Home
2026-01-04,P006,5,124.94999999999999,2,Wireless Mouse,Electronics
2026-01-04,P007,6,170.94,2,Yoga Mat,Fitness
2026-01-04,P008,3,44.97,1,Water Bottle,Fitness
2026-01-05,P001,9,112.36,5,Everyday Coffee,Grocery
2026-01-05,P002,6,38.29,3,Organic Cereal,Grocery
2026-01-05,P003,2,37.98,2,Cotton T-Shirt,Apparel
2026-01-05,P004,4,319.96,2,Running Shoes,Footwear
2026-01-05,P005,7,241.43,3,Desk Lamp,Home
2026-01-05,P006,19,458.57,6,Wireless Mouse,Electronics
2026-01-05,P007,4,113.96,2,Yoga Mat,Fitness
2026-01-05,P008,11,163.39000000000001,5,Water Bottle,Fitness
2026-01-06,P001,5,64.95,2,Everyday Coffee,Grocery
2026-01-06,P002,4,25.96,2,Organic Cereal,Grocery
2026-01-06,P003,3,56.97,2,Cotton T-Shirt,Apparel
2026-01-06,P004,7,551.93,3,Running Shoes,Footwear
2026-01-06,P005,7,234.43,4,Desk Lamp,Home
2026-01-06,P006,5,124.94999999999999,3,Wireless Mouse,Electronics
2026-01-06,P007,10,278.9,5,Yoga Mat,Fitness
2026-01-06,P008,2,28.48,1,Water Bottle,Fitness
2026-01-07,P001,11,141.59,5,Everyday Coffee,Grocery
2026-01-07,P002,2,12.98,2,Organic Cereal,Grocery
2026-01-07,P003,15,284.84999999999997,7,Cotton T-Shirt,Apparel
2026-01-07,P004,12,911.8799999999999,6,Running Shoes,Footwear
2026-01-07,P005,5,164.45,2,Desk Lamp,Home
2026-01-07,P006,4,94.96,2,Wireless Mouse,Electronics
2026-01-07,P007,7,209.92999999999998,4,Yoga Mat,Fitness
2026-01-07,P008,8,108.67,3,Water Bottle,Fitness
2026-01-08,P001,3,38.97,1,Everyday Coffee,Grocery
2026-01-08,P002,10,62.31,5,Organic Cereal,Grocery
2026-01-08,P003,1,18.99,1,Cotton T-Shirt,Apparel
2026-01-08,P004,6,463.94,4,Running Shoes,Footwear
2026-01-08,P005,2,69.98,2,Desk Lamp,Home
2026-01-08,P006,1,24.99,1,Wireless Mouse,Electronics
2026-01-08,P007,6,166.44,3,Yoga Mat,Fitness
2026-01-08,P008,3,44.97,2,Water Bottle,Fitness
2026-01-09,P001,7,85.08,3,Everyday Coffee,Grocery
2026-01-09,P002,10,63.6,4,Organic Cereal,Grocery
2026-01-09,P003,10,184.2,5,Cotton T-Shirt,Apparel
2026-01-09,P004,4,319.96,2,Running Shoes,Footwear
2026-01-09,P005,7,244.93,3,Desk Lamp,Home
2026-01-09,P006,1,24.99,1,Wireless Mouse,Electronics
2026-01-09,P007,3,88.47,2,Yoga Mat,Fitness
2026-01-09,P008,17,254.83,6,Water Bottle,Fitness
2026-01-10,P001,10,124.7,5,Everyday Coffee,Grocery
2026-01-10,P002,2,12.98,1,Organic Cereal,Grocery
2026-01-10,P003,6,113.94,3,Cotton T-Shirt,Apparel
2026-01-10,P004,9,671.9200000000001,2,Running Shoes,Footwear
2026-01-10,P005,8,269.42,5,Desk Lamp,Home
2026-01-10,P006,7,169.93,4,Wireless Mouse,Electronics
2026-01-10,P007,7,200.93,4,Yoga Mat,Fitness
2026-01-10,P008,4,59.96,1,Water Bottle,Fitness
2026-01-11,P001,10,126.0,5,Everyday Coffee,Grocery
2026-01-11,P003,4,70.26,2,Cotton T-Shirt,Apparel
2026-01-11,P004,14,1111.86,4,Running Shoes,Footwear
2026-01-11,P005,14,468.86,5,Desk Lamp,Home
2026-01-11,P007,2,56.98,1,Yoga Mat,Fitness
2026-01-11,P008,4,58.46,3,Water Bottle,Fitness
2026-01-12,P001,3,38.32,3,Everyday Coffee,Grocery
2026-01-12,P002,6,36.99,4,Organic Cereal,Grocery
2026-01-12,P003,6,108.24,2,Cotton T-Shirt,Apparel
2026-01-12,P005,13,447.87,6,Desk Lamp,Home
2026-01-12,P006,3,67.47,2,Wireless Mouse,Electronics
2026-01-12,P008,8,116.92,4,Water Bottle,Fitness
2026-01-13,P001,11,138.99,5,Everyday Coffee,Grocery
2026-01-13,P002,5,31.480000000000004,3,Organic Cereal,Grocery
2026-01-13,P003,2,37.98,1,Cotton T-Shirt,Apparel
2026-01-13,P004,3,235.96999999999997,2,Running Shoes,Footwear
2026-01-13,P005,10,341.15000000000003,4,Desk Lamp,Home
2026-01-13,P006,7,162.43,3,Wireless Mouse,Electronics
2026-01-13,P007,10,292.4,3,Yoga Mat,Fitness
2026-01-13,P008,6,86.94,3,Water Bottle,Fitness
2026-01-14,P001,2,23.38,1,Everyday Coffee,Grocery
2026-01-14,P002,2,12.66,2,Organic Cereal,Grocery
2026-01-14,P003,7,131.98,2,Cotton T-Shirt,Apparel
2026-01-14,P004,4,287.96,2,Running Shoes,Footwear
2026-01-14,P005,3,104.97,2,Desk Lamp,Home
2026-01-14,P006,5,117.44999999999999,2,Wireless Mouse,Electronics
2026-01-14,P007,4,119.96,2,Yoga Mat,Fitness
2026-01-14,P008,9,134.16,3,Water Bottle,Fitness
2026-01-15,P001,6,75.99,4,Everyday Coffee,Grocery
2026-01-15,P002,2,12.66,2,Organic Cereal,Grocery
2026-01-15,P003,4,75.96,1,Cotton T-Shirt,Apparel
2026-01-15,P005,11,384.89,4,Desk Lamp,Home
2026-01-15,P006,21,504.78999999999996,7,Wireless Mouse,Electronics
2026-01-15,P007,2,56.98,1,Yoga Mat,Fitness
2026-01-15,P008,3,44.22,2,Water Bottle,Fitness
2026-01-16,P001,7,88.33,4,Everyday Coffee,Grocery
2026-01-16,P002,3,18.17,2,Organic Cereal,Grocery
2026-01-16,P003,10,189.89999999999998,3,Cotton T-Shirt,Apparel
2026-01-16,P004,5,399.95,2,Running Shoes,Footwear
2026-01-16,P005,3,94.47,2,Desk Lamp,Home
2026-01-16,P006,2,46.23,2,Wireless Mouse,Electronics
2026-01-16,P007,3,89.97,2,Yoga Mat,Fitness
2026-01-16,P008,4,55.46,2,Water Bottle,Fitness
2026-01-17,P001,10,127.30000000000001,3,Everyday Coffee,Grocery
2026-01-17,P002,4,23.36,3,Organic Cereal,Grocery
2026-01-17,P003,1,18.99,1,Cotton T-Shirt,Apparel
2026-01-17,P004,3,239.96999999999997,2,Running Shoes,Footwear
2026-01-17,P005,6,209.94,1,Desk Lamp,Home
2026-01-17,P006,13,301.13,4,Wireless Mouse,Electronics
2026-01-17,P007,3,89.97,2,Yoga Mat,Fitness
2026-01-17,P008,5,74.95,2,Water Bottle,Fitness
2026-01-18,P001,12,150.68,6,Everyday Coffee,Grocery
2026-01-18,P002,8,51.269999999999996,4,Organic Cereal,Grocery
2026-01-18,P003,8,151.92,4,Cotton T-Shirt,Apparel
2026-01-18,P004,6,447.93999999999994,2,Running Shoes,Footwear
2026-01-18,P005,5,162.7,4,Desk Lamp,Home
2026-01-18,P006,4,94.96,1,Wireless Mouse,Electronics
2026-01-18,P007,4,116.96,2,Yoga Mat,Fitness
2026-01-18,P008,2,26.98,1,Water Bottle,Fitness
2026-01-19,P001,18,229.27,5,Everyday Coffee,Grocery
2026-01-19,P002,12,76.58,6,Organic Cereal,Grocery
2026-01-19,P003,12,219.32999999999998,5,Cotton T-Shirt,Apparel
2026-01-19,P004,7,539.93,2,Running Shoes,Footwear
2026-01-19,P006,5,116.19999999999999,3,Wireless Mouse,Electronics
2026-01-19,P007,5,142.45,2,Yoga Mat,Fitness
2026-01-19,P008,13,193.37,6,Water Bottle,Fitness
2026-01-20,P001,3,35.72,3,Everyday Coffee,Grocery
2026-01-20,P002,8,50.3,4,Organic Cereal,Grocery
2026-01-20,P003,2,32.28,1,Cotton T-Shirt,Apparel
2026-01-20,P004,4,295.96,2,Running Shoes,Footwear
2026-01-20,P005,1,34.99,1,Desk Lamp,Home
2026-01-20,P006,7,156.19,2,Wireless Mouse,Electronics
2026-01-20,P007,7,206.92999999999998,4,Yoga Mat,Fitness
2026-01-20,P008,6,89.19,3,Water Bottle,Fitness
2026-01-21,P001,4,51.31,2,Everyday Coffee,Grocery
2026-01-21,P002,6,38.94,4,Organic Cereal,Grocery
2026-01-21,P003,6,113.94,2,Cotton T-Shirt,Apparel
2026-01-21,P005,14,470.61,5,Desk Lamp,Home
2026-01-21,P007,2,59.98,2,Yoga Mat,Fitness
2026-01-21,P008,7,104.93,3,Water Bottle,Fitness
2026-01-22,P001,6,76.64,3,Everyday Coffee,Grocery
2026-01-22,P002,6,38.94,3,Organic Cereal,Grocery
2026-01-22,P003,4,69.31,3,Cotton T-Shirt,Apparel
2026-01-22,P004,10,763.9,3,Running Shoes,Footwear
2026-01-22,P005,1,33.24,1,Desk Lamp,Home
2026-01-22,P006,9,223.65999999999997,4,Wireless Mouse,Electronics
2026-01-22,P007,12,353.88,6,Yoga Mat,Fitness
2026-01-22,P008,1,14.99,1,Water Bottle,Fitness
2026-01-23,P001,11,137.04,4,Everyday Coffee,Grocery
2026-01-23,P002,4,25.31,2,Organic Cereal,Grocery
2026-01-23,P003,5,94.94999999999999,4,Cotton T-Shirt,Apparel
2026-01-23,P004,3,215.97,1,Running Shoes,Footwear
2026-01-23,P005,13,437.38,4,Desk Lamp,Home
2026-01-23,P006,6,147.44,3,Wireless Mouse,Electronics
2026-01-23,P007,1,29.99,1,Yoga Mat,Fitness
2026-01-23,P008,11,158.14,3,Water Bottle,Fitness
2026-01-24,P001,3,38.32,2,Everyday Coffee,Grocery
2026-01-24,P002,8,51.269999999999996,4,Organic Cereal,Grocery
2026-01-24,P003,12,218.38,6,Cotton T-Shirt,Apparel
2026-01-24,P004,10,783.9,5,Running Shoes,Footwear
2026-01-24,P005,6,206.44,3,Desk Lamp,Home
2026-01-24,P006,6,136.19,4,Wireless Mouse,Electronics
2026-01-24,P007,1,29.99,1,Yoga Mat,Fitness
2026-01-24,P008,3,42.72,3,Water Bottle,Fitness
2026-01-25,P001,5,64.3,3,Everyday Coffee,Grocery
2026-01-25,P002,4,24.009999999999998,2,Organic Cereal,Grocery
2026-01-25,P003,3,56.97,2,Cotton T-Shirt,Apparel
2026-01-25,P005,8,264.17,4,Desk Lamp,Home
2026-01-25,P006,9,207.42,2,Wireless Mouse,Electronics
2026-01-25,P007,9,259.40999999999997,4,Yoga Mat,Fitness
2026-01-25,P008,5,74.2,3,Water Bottle,Fitness
2026-01-26,P001,7,89.63,4,Everyday Coffee,Grocery
2026-01-26,P004,6,443.94,3,Running Shoes,Footwear
2026-01-26,P005,10,349.9,4,Desk Lamp,Home
2026-01-26,P006,3,74.97,2,Wireless Mouse,Electronics
2026-01-26,P007,4,113.96,3,Yoga Mat,Fitness
2026-01-26,P008,5,74.2,3,Water Bottle,Fitness
2026-01-27,P001,5,60.4,3,Everyday Coffee,Grocery
2026-01-27,P002,9,56.79,3,Organic Cereal,Grocery
2026-01-27,P003,19,346.56,11,Cotton T-Shirt,Apparel
2026-01-27,P004,8,639.92,3,Running Shoes,Footwear
2026-01-27,P005,1,34.99,1,Desk Lamp,Home
2026-01-27,P006,7,171.18,4,Wireless Mouse,Electronics
2026-01-27,P007,11,325.39,4,Yoga Mat,Fitness
2026-01-27,P008,4,59.21,3,Water Bottle,Fitness
2026-01-28,P001,3,36.37,2,Everyday Coffee,Grocery
2026-01-28,P002,6,37.64,4,Organic Cereal,Grocery
2026-01-28,P003,13,241.17,8,Cotton T-Shirt,Apparel
2026-01-28,P004,7,523.93,3,Running Shoes,Footwear
2026-01-28,P005,3,101.47,2,Desk Lamp,Home
2026-01-28,P006,3,72.47,2,Wireless Mouse,Electronics
2026-01-28,P007,11,326.89,4,Yoga Mat,Fitness
2026-01-28,P008,3,40.47,2,Water Bottle,Fitness
2026-01-29,P001,7,86.38000000000001,3,Everyday Coffee,Grocery
2026-01-29,P002,5,32.45,3,Organic Cereal,Grocery
2026-01-29,P003,5,93.05,2,Cotton T-Shirt,Apparel
2026-01-29,P004,3,239.96999999999997,3,Running Shoes,Footwear
2026-01-29,P005,4,139.96,3,Desk Lamp,Home
2026-01-29,P006,7,169.93,4,Wireless Mouse,Electronics
2026-01-29,P007,12,359.88,5,Yoga Mat,Fitness
2026-01-29,P008,13,187.37,6,Water Bottle,Fitness
2026-01-30,P001,15,187.7,7,Everyday Coffee,Grocery
2026-01-30,P002,7,40.56,4,Organic Cereal,Grocery
2026-01-30,P003,9,164.26,4,Cotton T-Shirt,Apparel
2026-01-30,P004,11,839.89,4,Running Shoes,Footwear
2026-01-30,P006,10,247.39999999999998,4,Wireless Mouse,Electronics
2026-01-30,P007,7,200.92999999999998,4,Yoga Mat,Fitness
2026-01-30,P008,6,86.19,4,Water Bottle,Fitness
2026-01-31,P002,3,19.47,1,Organic Cereal,Grocery
2026-01-31,P003,6,113.93999999999998,4,Cotton T-Shirt,Apparel
2026-01-31,P004,2,147.98,2,Running Shoes,Footwear
2026-01-31,P005,6,190.69,4,Desk Lamp,Home
2026-01-31,P006,13,319.87,7,Wireless Mouse,Electronics
2026-01-31,P007,4,115.46,2,Yoga Mat,Fitness
2026-01-31,P008,4,52.46,2,Water Bottle,Fitness
2026-02-01,P001,16,207.19,7,Everyday Coffee,Grocery
2026-02-01,P002,4,25.96,3,Organic Cereal,Grocery
2026-02-01,P003,7,131.98,4,Cotton T-Shirt,Apparel
2026-02-01,P004,4,319.96,2,Running Shoes,Footwear
2026-02-01,P005,5,174.95000000000002,3,Desk Lamp,Home
2026-02-01,P006,14,333.61,6,Wireless Mouse,Electronics
2026-02-01,P007,7,206.93,3,Yoga Mat,Fitness
2026-02-02,P001,3,37.67,2,Everyday Coffee,Grocery
2026-02-02,P002,8,51.6,3,Organic Cereal,Grocery
2026-02-02,P003,10,187.05,5,Cotton T-Shirt,Apparel
2026-02-02,P004,11,875.89,6,Running Shoes,Footwear
2026-02-02,P006,6,146.19,3,Wireless Mouse,Electronics
2026-02-02,P007,1,29.99,1,Yoga Mat,Fitness
2026-02-02,P008,10,138.65,4,Water Bottle,Fitness
2026-02-03,P001,2,24.03,2,Everyday Coffee,Grocery
2026-02-03,P002,11,67.82000000000001,4,Organic Cereal,Grocery
2026-02-03,P003,10,184.2,3,Cotton T-Shirt,Apparel
2026-02-03,P004,8,627.92,6,Running Shoes,Footwear
2026-02-03,P005,3,101.47,3,Desk Lamp,Home
2026-02-03,P006,2,49.98,1,Wireless Mouse,Electronics
2026-02-03,P007,5,140.95,2,Yoga Mat,Fitness
2026-02-03,P008,5,71.95,2,Water Bottle,Fitness
2026-02-04,P001,6,77.94,4,Everyday Coffee,Grocery
2026-02-04,P002,8,51.92,3,Organic Cereal,Grocery
2026-02-04,P003,1,18.99,1,Cotton T-Shirt,Apparel
2026-02-04,P004,6,479.94,2,Running Shoes,Footwear
2026-02-04,P005,6,201.19,5,Desk Lamp,Home
2026-02-04,P006,2,49.98,1,Wireless Mouse,Electronics
2026-02-04,P007,3,89.97,2,Yoga Mat,Fitness
2026-02-04,P008,4,57.71,4,Water Bottle,Fitness
2026-02-05,P001,5,64.3,4,Everyday Coffee,Grocery
2026-02-05,P002,3,19.15,2,Organic Cereal,Grocery
2026-02-05,P003,4,70.26,2,Cotton T-Shirt,Apparel
2026-02-05,P004,11,847.89,4,Running Shoes,Footwear
2026-02-05,P005,10,342.90000000000003,5,Desk Lamp,Home
2026-02-05,P006,6,143.69,4,Wireless Mouse,Electronics
2026-02-05,P007,5,146.95,3,Yoga Mat,Fitness
2026-02-05,P008,2,28.48,2,Water Bottle,Fitness
2026-02-06,P001,5,64.95,3,Everyday Coffee,Grocery
2026-02-06,P002,5,31.15,3,Organic Cereal,Grocery
2026-02-06,P003,7,128.18,2,Cotton T-Shirt,Apparel
2026-02-06,P004,7,559.93,3,Running Shoes,Footwear
2026-02-06,P005,10,332.4,4,Desk Lamp,Home
2026-02-06,P006,9,224.91,2,Wireless Mouse,Electronics
2026-02-06,P007,10,290.9,5,Yoga Mat,Fitness
2026-02-07,P001,21,270.84000000000003,7,Everyday Coffee,Grocery
2026-02-07,P002,3,18.5,1,Organic Cereal,Grocery
2026-02-07,P003,6,104.44,2,Cotton T-Shirt,Apparel
2026-02-07,P004,6,443.94,5,Running Shoes,Footwear
2026-02-07,P005,5,174.95000000000002,4,Desk Lamp,Home
2026-02-07,P006,8,197.42,3,Wireless Mouse,Electronics
2026-02-07,P007,9,248.90999999999997,6,Yoga Mat,Fitness
2026-02-07,P008,5,68.2,3,Water Bottle,Fitness
2026-02-08,P001,8,99.37,3,Everyday Coffee,Grocery
2026-02-08,P002,12,76.91,6,Organic Cereal,Grocery
2026-02-08,P003,5,83.55999999999999,2,Cotton T-Shirt,Apparel
2026-02-08,P004,5,399.95,2,Running Shoes,Footwear
2026-02-08,P005,11,384.89,3,Desk Lamp,Home
2026-02-08,P006,4,92.46,2,Wireless Mouse,Electronics
2026-02-08,P007,6,179.94,3,Yoga Mat,Fitness
2026-02-08,P008,2,29.23,2,Water Bottle,Fitness
2026-02-09,P001,4,51.96,1,Everyday Coffee,Grocery
2026-02-09,P002,10,62.3,3,Organic Cereal,Grocery
2026-02-09,P003,13,246.86999999999998,4,Cotton T-Shirt,Apparel
2026-02-09,P004,7,543.93,3,Running Shoes,Footwear
2026-02-09,P005,16,545.84,7,Desk Lamp,Home
2026-02-09,P006,9,221.15999999999997,4,Wireless Mouse,Electronics
2026-02-09,P007,1,28.49,1,Yoga Mat,Fitness
2026-02-09,P008,5,73.45,3,Water Bottle,Fitness
2026-02-10,P001,9,116.91,4,Everyday Coffee,Grocery
2026-02-10,P002,7,42.83,3,Organic Cereal,Grocery
2026-02-10,P003,7,120.58,3,Cotton T-Shirt,Apparel
2026-02-10,P004,16,1251.84,6,Running Shoes,Footwear
2026-02-10,P006,10,246.14999999999998,5,Wireless Mouse,Electronics
2026-02-10,P007,2,59.98,1,Yoga Mat,Fitness
2026-02-10,P008,3,40.47,2,Water Bottle,Fitness
2026-02-11,P001,13,161.07,6,Everyday Coffee,Grocery
2026-02-11,P002,3,19.47,2,Organic Cereal,Grocery
2026-02-11,P003,4,74.06,2,Cotton T-Shirt,Apparel
2026-02-11,P004,7,527.93,3,Running Shoes,Footwear
2026-02-11,P005,15,493.36,5,Desk Lamp,Home
2026-02-11,P006,5,118.7,1,Wireless Mouse,Electronics
2026-02-11,P007,3,88.47,2,Yoga Mat,Fitness
2026-02-11,P008,11,164.89000000000001,4,Water Bottle,Fitness
2026-02-12,P001,8,98.72,4,Everyday Coffee,Grocery
2026-02-12,P002,14,90.21,5,Organic Cereal,Grocery
2026-02-12,P003,4,75.96,2,Cotton T-Shirt,Apparel
2026-02-12,P004,6,471.94,4,Running Shoes,Footwear
2026-02-12,P005,9,292.15999999999997,3,Desk Lamp,Home
2026-02-12,P006,1,21.24,1,Wireless Mouse,Electronics
2026-02-12,P007,4,115.46,2,Yoga Mat,Fitness
2026-02-12,P008,8,108.67,4,Water Bottle,Fitness
2026-02-13,P001,4,50.66,2,Everyday Coffee,Grocery
2026-02-13,P002,5,31.8,3,Organic Cereal,Grocery
2026-02-13,P003,1,17.09,1,Cotton T-Shirt,Apparel
2026-02-13,P004,7,559.93,2,Running Shoes,Footwear
2026-02-13,P005,6,206.44,3,Desk Lamp,Home
2026-02-13,P006,15,366.09999999999997,6,Wireless Mouse,Electronics
2026-02-13,P008,4,56.21,4,Water Bottle,Fitness
2026-02-14,P001,11,136.39,5,Everyday Coffee,Grocery
2026-02-14,P002,6,36.99,3,Organic Cereal,Grocery
2026-02-14,P003,11,202.24,5,Cotton T-Shirt,Apparel
2026-02-14,P004,3,215.97,1,Running Shoes,Footwear
2026-02-14,P005,13,437.37,4,Desk Lamp,Home
2026-02-14,P006,4,97.46,2,Wireless Mouse,Electronics
2026-02-14,P007,3,89.97,2,Yoga Mat,Fitness
2026-02-14,P008,18,262.32,7,Water Bottle,Fitness
2026-02-15,P001,6,77.94,3,Everyday Coffee,Grocery
2026-02-15,P003,2,37.98,1,Cotton T-Shirt,Apparel
2026-02-15,P004,9,675.91,4,Running Shoes,Footwear
2026-02-15,P005,12,384.88,5,Desk Lamp,Home
2026-02-15,P006,12,298.63,6,Wireless Mouse,Electronics
2026-02-15,P007,5,148.45,3,Yoga Mat,Fitness
2026-02-15,P008,2,25.48,1,Water Bottle,Fitness
2026-02-16,P001,6,72.74,4,Everyday Coffee,Grocery
2026-02-16,P002,9,57.44,5,Organic Cereal,Grocery
2026-02-16,P003,7,132.92999999999998,3,Cotton T-Shirt,Apparel
2026-02-16,P004,27,2031.75,8,Running Shoes,Footwear
2026-02-16,P005,2,69.98,1,Desk Lamp,Home
2026-02-16,P006,3,68.72,2,Wireless Mouse,Electronics
2026-02-16,P007,4,119.96,2,Yoga Mat,Fitness
2026-02-16,P008,7,98.18,3,Water Bottle,Fitness
2026-02-17,P001,3,38.32,3,Everyday Coffee,Grocery
2026-02-17,P002,3,18.82,2,Organic Cereal,Grocery
2026-02-17,P003,4,72.16,2,Cotton T-Shirt,Apparel
2026-02-17,P004,14,1103.86,5,Running Shoes,Footwear
2026-02-17,P005,5,160.95,2,Desk Lamp,Home
2026-02-17,P006,8,191.17,4,Wireless Mouse,Electronics
2026-02-17,P007,4,118.46,3,Yoga Mat,Fitness
2026-02-17,P008,5,63.7,2,Water Bottle,Fitness
2026-02-18,P001,2,24.68,1,Everyday Coffee,Grocery
2026-02-18,P002,11,68.79,3,Organic Cereal,Grocery
2026-02-18,P003,7,132.93,2,Cotton T-Shirt,Apparel
2026-02-18,P004,11,847.89,6,Running Shoes,Footwear
2026-02-18,P005,6,201.19,4,Desk Lamp,Home
2026-02-18,P006,10,244.89999999999998,4,Wireless Mouse,Electronics
2026-02-18,P007,5,143.95,4,Yoga Mat,Fitness
2026-02-18,P008,2,26.23,2,Water Bottle,Fitness
2026-02-19,P001,11,135.74,6,Everyday Coffee,Grocery
2026-02-19,P002,8,46.730000000000004,3,Organic Cereal,Grocery
2026-02-19,P003,9,160.46,4,Cotton T-Shirt,Apparel
2026-02-19,P004,6,479.94,2,Running Shoes,Footwear
2026-02-19,P005,13,446.12,6,Desk Lamp,Home
2026-02-19,P006,3,74.97,1,Wireless Mouse,Electronics
2026-02-19,P007,2,53.98,1,Yoga Mat,Fitness
2026-02-19,P008,9,134.91,3,Water Bottle,Fitness
2026-02-20,P001,13,164.32,6,Everyday Coffee,Grocery
2026-02-20,P002,3,18.82,2,Organic Cereal,Grocery
2026-02-20,P003,7,127.22999999999999,3,Cotton T-Shirt,Apparel
2026-02-20,P004,14,1099.86,7,Running Shoes,Footwear
2026-02-20,P005,4,125.96,2,Desk Lamp,Home
2026-02-20,P006,3,72.47,2,Wireless Mouse,Electronics
2026-02-20,P007,3,85.47,3,Yoga Mat,Fitness
2026-02-20,P008,13,189.62,5,Water Bottle,Fitness
2026-02-21,P001,8,100.67,5,Everyday Coffee,Grocery
2026-02-21,P002,1,6.49,1,Organic Cereal,Grocery
2026-02-21,P003,12,214.59,5,Cotton T-Shirt,Apparel
2026-02-21,P004,17,1331.83,7,Running Shoes,Footwear
2026-02-21,P005,10,337.65,4,Desk Lamp,Home
2026-02-21,P006,7,164.92999999999998,5,Wireless Mouse,Electronics
2026-02-21,P007,3,88.47,2,Yoga Mat,Fitness
